branch_code,police_number,brand,model,year
DPS-001,DK 1430 EN,Toyota,Avanza,2018
DPS-001,DK 1084 HF,Toyota,Avanza,2018
DPS-001,DK 1085 HF,Toyota,Avanza,2018
DPS-001,DK 1431 EN,Toyota,Avanza,2018
DPS-001,DK 1714 ABX,Toyota,Avanza,2022
CPT-STIKES,DK 1249 HH,Toyota,Kijang Innova,2019
CPT-IHD,DK 1163 HK,Toyota,Kijang Innova,2019
CPT-UNUD,DK 1760 ABK,Toyota,Kijang Innova,2021
BDG-001,DK 1424 EN,Toyota,Avanza,2018
BDG-001,DK 1427 EN,Toyota,Avanza,2018
BDG-001,DK 1440 EN,Toyota,Avanza,2018
BDG-001,DK 1433 EN,Toyota,Avanza,2018
BDG-001,DK 1439 EN,Toyota,Avanza,2018
BDG-001,DK 1002 DV,Toyota,Avanza,2018
BDG-001,DK 1447 EN,Toyota,Avanza,2018
BDG-001,DK 1449 EN,Toyota,Avanza,2018
BDG-001,DK 1282 ADU,Toyota,Avanza,2025
TBN-001,DK 1103 ABZ,Toyota,Avanza,2022
TBN-001,DK 1105 ABZ,Toyota,Avanza,2022
TBN-001,DK 1106 ABZ,Toyota,Avanza,2022
TBN-001,DK 1455 EM,Toyota,Avanza,2018
TBN-001,DK 1464 EM,Toyota,Avanza,2018
TBN-001,DK 1453 EM,Toyota,Avanza,2018
TBN-001,DK 1448 EM,Toyota,Avanza,2018
TBN-001,DK 1450 EM,Toyota,Avanza,2018
TBN-001,DK 1442 EM,Toyota,Avanza,2018
TBN-001,DK 1443 EM,Toyota,Avanza,2018
TBN-001,DK 1442 EN,Toyota,Avanza,2018
SRT-001,DK 1446 EM,Toyota,Avanza,2018
SRT-001,DK 1449 EM,Toyota,Avanza,2018
SRT-001,DK 1452 EM,Toyota,Avanza,2018
SRT-001,DK 1459 EM,Toyota,Avanza,2018
SRT-001,DK 1572 HH,Toyota,Avanza,2019
SGR-001,DK 1440 EM,Toyota,Avanza,2018
SGR-001,DK 1445 EM,Toyota,Avanza,2018
SGR-001,DK 1447 EM,Toyota,Avanza,2018
SGR-001,DK 1467 EM,Toyota,Avanza,2018
SGR-001,DK 1468 EM,Toyota,Avanza,2018
NGR-001,DK 1716 ABX,Toyota,Avanza,2022
NGR-001,DK 1521 AEC,Toyota,Avanza,2025
NGR-001,DK 1522 AEC,Toyota,Avanza,2025
NGR-001,DK 1994 DU,Toyota,Avanza,2018
GIA-001,DK-1458-EN,Toyota,Avanza,2018
GIA-001,DK-1437-EN,Toyota,Avanza,2018
GIA-001,DK-1460-EN,Toyota,Avanza,2018
GIA-001,DK 1074 ABU,Toyota,Avanza,2022
GIA-001,DK 1075 ABU,Toyota,Avanza,2022
GIA-001,DK 1076 ABU,Toyota,Avanza,2022
KLK-001,DK 1276 HK,Toyota,Avanza Veloz,2019
KLK-001,DK 1278 HK,Toyota,Avanza Veloz,2019
KLK-001,DK 1168 ACE,Toyota,Avanza Veloz,2023
KLK-001,DK-1435-EN,Toyota,Avanza,2018
KLK-001,DK-1438-EN,Toyota,Avanza,2018
UBD-001,DK 1642 ABI,Toyota,Avanza,2021
UBD-001,DK-1453-EN,Toyota,Avanza,2018
UBD-001,DK-1456-EN,Toyota,Avanza,2018
KRA-001,DK-1432-EN,Toyota,Avanza,2018
KRA-001,DK-1426-EN,Toyota,Avanza,2018
KRA-001,DK-1421-EN,Toyota,Avanza,2018
KRA-001,DK-1425-EN,Toyota,Avanza,2018
KRA-001,DK-1590-HG,Toyota,Avanza,2018
KRA-001,DK 1165 ACE,Toyota,Avanza,2023
KRA-001,DK 1167 ACE,Toyota,Avanza,2023
BGL-001,DK-1429-EN,Toyota,Avanza,2018
BGL-001,DK-1448-EN,Toyota,Avanza,2018
BGL-001,DK-1446-EM,Toyota,Avanza,2018
BGL-001,DK 1224 ABW,Toyota,Avanza,2022
MGP-001,DK-1458-EM,Toyota,Avanza,2018
RNN-001,DK 1637 ABI,Toyota,Avanza,2021
RNN-001,DK 1640 ABI,Toyota,Avanza,2021
RNN-001,DK 1641 ABI,Toyota,Avanza,2021
RNN-001,DK 1643 ABI,Toyota,Avanza,2021
RNN-001,DK 1536 ABX,Toyota,Avanza,2022
RNN-001,DK 99 KDS,Toyota,Fortuner,2026
RNN-001,DK-1422-EN,Toyota,Avanza,2018
PST-001,DK 1290 ACP,Toyota,Voxy,2023
PST-001,DK 1207 ACO,Toyota,Zenix,
PST-001,DK 1972 ACO,Toyota,Fortuner,
PST-001,DK 1280 ACO,Toyota,Fortuner,
PST-001,DK 1281 ACO,Toyota,Fortuner,
PST-001,DK 1536 ACO,Toyota,Fortuner,
PST-001,DK 1368 BML,Toyota,Fortuner,
PST-001,DK 1279 DMW,Toyota,Fortuner,
PST-001,DK 81 WBT,Toyota,Fortuner,
PST-001,DK 8667 BH,Daihatsu,Gran Max,2015
PST-001,DK 8085 CM,Isuzu,Elf,2015
PST-001,DK 8385 DS,Daihatsu,Gran Max,2017
PST-001,DK 8386 DS,Daihatsu,Gran Max,2017
PST-001,DK 8390 DS,Daihatsu,Gran Max,2017
PST-001,DK 8391 DS,Daihatsu,Gran Max,2017
JBM-001,DK 1249 AEE,Toyota,Zenix,2026
PST-001,DK 1481 AEE,Toyota,Zenix,2026
PST-001,DK-1685-AEI,Toyota,Zenix,2018
PST-001,DK-1686-AEI,Toyota,Zenix,2018
KESA-001,DK 1423 EN,Toyota,Avanza,2018
